original_path,original_folder,original_hash,original_size,migration_date,destination_path,classification,git_managed,duplicate_status,rights_status,notes
bridge-standards-research/research/stage5b/checkpoints/checkpoint_PKG-007-DDB.json,bridge-standards-research,cfae0b5f63328fe2d1ad4bb1d336f4051334ad3822a389c25d0ca8259bc0a3b5,837,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/checkpoints/checkpoint_PKG-007-DDB.json,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/package-reports/PKG-003-RBS-I_report.md,bridge-standards-research,3ce18e1e8de4a00fa76946eb6895c40b9954200399038edb2a29c6071eaade62,1433,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/package-reports/PKG-003-RBS-I_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/package-reports/PKG-004-RBS-II_report.md,bridge-standards-research,ecf82a90d5859f8aad9816ae14d29ffc7ae67fbb908ed66c636f1d766c835fb7,981,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/package-reports/PKG-004-RBS-II_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/package-reports/PKG-005-RBS-III_report.md,bridge-standards-research,2c55ed8f0b7e0d9ebc3c977ebbc8e0b0f97fc6208d30dc280616022754957c81,979,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/package-reports/PKG-005-RBS-III_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/package-reports/PKG-006-DESIGN-MANUAL_report.md,bridge-standards-research,8ce1cbb99a47aa757ee540017182c69e5e603de8a4f4766c250f25e70914cc4d,991,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/package-reports/PKG-006-DESIGN-MANUAL_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/package-reports/PKG-007-DDB_report.md,bridge-standards-research,1ee9d5909be3c1c0cdf8edfd852d28c529ce71aa4738513669d5771ca40023f0,965,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/package-reports/PKG-007-DDB_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_evidence_index.csv,bridge-standards-research,5bf4ad3d854ce24afe9d739a3d53ce07fee5632536536dde1d0a19093d1bfbec,38921,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_evidence_index.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_handoff_result_map.csv,bridge-standards-research,ca91ee34bf2727213f8c4df797588c46326ff578c5bbd30b5bd54cf4d196b727,45870,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_handoff_result_map.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_handoff_result_map_pkg003.csv,bridge-standards-research,1045bb5f0d5d0ca000087491be3a3aaf2ee618db782e15c43e7d81e1b9009ac0,2715,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_handoff_result_map_pkg003.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_long_run_manifest.csv,bridge-standards-research,ab5884d499dbe8977e4b4de227596c2b5d035b13f4a85534b57eff1582ab7ca3,923,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_long_run_manifest.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_package_status.csv,bridge-standards-research,c5b3fefe429d4681d83c3e0fc564da86a92d64b0716dda2b1a6ca8ae71929fef,718,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_package_status.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_research_plan.md,bridge-standards-research,1a0dec3d67c7d3ef1c36c49b54c75b0e5ce139414bad511900c1079c5cf2e236,913,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_research_plan.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_research_results.csv,bridge-standards-research,8854fa8197a959856cb889af7924419b19a6b951e0d5df937fca79de4211c8e3,118337,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_research_results.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_research_review_report.md,bridge-standards-research,3f5765b029c2a905363670c77133b1d182f4319432af7bf3bbe81160c9d5ae15,2636,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_research_review_report.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_research_summary.md,bridge-standards-research,c5cb1435b1a625a02aa31aeb7d4a0b97ba6c3ef9cb5cda4a55316ca20653350a,728,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_research_summary.md,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
bridge-standards-research/research/stage5b/stage5b_unresolved_register.csv,bridge-standards-research,ca9c8b68da2f550fd4d90918b2a6e857ac23cdbfe542277b6709621339a53d60,6107,2026-08-01,docs/apollo/design-standards/research/consolidated-2026-08-01/research/stage5b/stage5b_unresolved_register.csv,A_MAIN,true,CANONICAL,REVIEWED_SUMMARY_OR_METADATA,PR-B bridge research consolidation
