sheet_number,field,value
124,工事名,一般国道247号（西知多道路）
124,路線名,一般国道247号（西知多道路）
124,施工箇所名,知多市旭地内始め
125,図面番号,全 141 葉の内 125 号
125,工事名,一般国道247号（西知多道路）
125,路線名,一般国道247号（西知多道路）
125,施工箇所名,知多市旭地内始め
126,図面番号,全 141 葉の内 126 号
126,工事名,一般国道247号（西知多道路）
126,路線名,一般国道247号（西知多道路）
126,施工箇所名,知多市旭地内始め
127,図面番号,全 141 葉の内 127 号
127,工事名,一般国道247号（西知多道路）
127,路線名,一般国道247号（西知多道路）
127,施工箇所名,知多市旭地内始め
128,図面番号,全 141 葉の内 128 号
128,工事名,一般国道247号（西知多道路）
128,路線名,一般国道247号（西知多道路）
128,施工箇所名,知多市旭地内始め
129,図面番号,全 141 葉の内 129 号
129,工事名,一般国道247号（西知多道路）
129,路線名,一般国道247号（西知多道路）
129,施工箇所名,知多市旭地内始め
130,図面番号,全 141 葉の内 130 号
130,工事名,一般国道247号（西知多道路）
130,路線名,一般国道247号（西知多道路）
130,施工箇所名,知多市旭地内始め
131,図面番号,全 141 葉の内 131 号
131,工事名,一般国道247号（西知多道路）
131,路線名,一般国道247号（西知多道路）
131,施工箇所名,知多市旭地内始め
132,図面番号,全 141 葉の内 132 号
132,工事名,一般国道247号（西知多道路）
132,路線名,一般国道247号（西知多道路）
132,施工箇所名,知多市旭地内始め
133,図面番号,全 141 葉の内 133 号
133,工事名,一般国道247号（西知多道路）
133,路線名,一般国道247号（西知多道路）
133,施工箇所名,知多市旭地内始め
134,図面番号,全 141 葉の内 134 号
134,工事名,一般国道247号（西知多道路）
134,路線名,一般国道247号（西知多道路）
134,施工箇所名,知多市旭地内始め
135,図面番号,全 141 葉の内 135 号
135,工事名,一般国道247号（西知多道路）
135,路線名,一般国道247号（西知多道路）
135,施工箇所名,知多市旭地内始め
136,図面番号,全 141 葉の内 136 号
136,工事名,一般国道247号（西知多道路）
136,路線名,一般国道247号（西知多道路）
136,施工箇所名,知多市旭地内始め
137,図面番号,全 141 葉の内 137 号
137,工事名,一般国道247号（西知多道路）
137,路線名,一般国道247号（西知多道路）
137,施工箇所名,知多市旭地内始め
138,図面番号,全 141 葉の内 138 号
138,工事名,一般国道247号（西知多道路）
138,路線名,一般国道247号（西知多道路）
138,施工箇所名,知多市旭地内始め
139,図面番号,全 141 葉の内 139 号
139,工事名,一般国道247号（西知多道路）
139,路線名,一般国道247号（西知多道路）
139,施工箇所名,知多市旭地内始め
140,図面番号,全 141 葉の内 140 号
140,工事名,一般国道247号（西知多道路）
140,路線名,一般国道247号（西知多道路）
140,施工箇所名,知多市旭地内始め
89,図面の種類,旭高架橋 Aランプ PU15ｰAR2 旭高架橋 Aランプ PU15ｰAR2 PU15 伸縮装置図(その1)
90,図面の種類,旭高架橋 Aランプ PU15ｰAR2 旭高架橋 Aランプ PU15ｰAR2 PU15 伸縮装置図(その2)
91,図面の種類,旭高架橋 Aランプ PU15ｰAR2 旭高架橋 Aランプ PU15ｰAR2 PU15 伸縮装置図(その3)
92,図面の種類,旭高架橋 Aランプ PU15ｰAR2 旭高架橋 Aランプ PU15ｰAR2 伸縮装置図
93,図面の種類,旭高架橋 Aランプ PU15ｰAR2 旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その1)
94,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その2)
95,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その3)
96,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その4)
97,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その5)
98,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その6)
99,図面の種類,旭高架橋 Aランプ PU15ｰAR2 壁高欄配筋図(その7)
100,図面の種類,旭高架橋 Aランプ PU15ｰAR2 照明受台配筋図
101,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その1)
102,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その2)
103,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その3)
104,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その4)
105,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その5)
106,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その6)
107,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その7)
108,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その8)
109,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その9)
110,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その10)
111,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工排水装置(その11)
112,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その1)
113,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その2)
114,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工排水装置(その3)
115,図面の種類,旭高架橋 Aランプ PU15ｰAR2 橋面排水工
116,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その1)
117,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その2)
118,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その3)
119,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その4)
120,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その5)
121,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その6)
122,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その7)
123,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その8)
124,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その9)
125,図面の種類,旭高架橋 Aランプ PU15ｰAR2 上部工検査路(その10)
126,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その1)
127,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その2)
128,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その3)
129,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その4)
130,図面の種類,旭高架橋 Aランプ PU15ｰAR2 下部工検査路(その5)
131,図面の種類,旭高架橋 Aランプ PU15ｰAR2 法面階段
132,図面の種類,旭高架橋 Aランプ PU15ｰAR2 落下物防止柵(参考図)
133,図面の種類,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工(その1)
134,図面の種類,旭高架橋 Aランプ PU15ｰAR2 剥落防止対策工(その2)
135,図面の種類,旭高架橋 Aランプ PU15ｰAR2 段差防止構造(その1)
136,図面の種類,旭高架橋 Aランプ PU15ｰAR2 段差防止構造(その2)
137,図面の種類,旭高架橋 Aランプ PU15ｰAR2 橋名板・橋歴板(参考図)
138,図面の種類,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール(参考図 その1)
139,図面の種類,旭高架橋 Aランプ PU15ｰAR2 ノーズ部ガードレール(参考図 その2)
140,図面の種類,旭高架橋 Aランプ PU15ｰAR2 ノーズ部止水構造図(参考図)
141,図面の種類,旭高架橋 Aランプ PU15ｰAR2 架設計画図
141,図面番号,全 141 葉の内 141 号
